Year	N1	N2	N3	N4plus	N_total	Ns_total	CV_N	sigma2_N	sigma_N	C1	C2	C3	C4	L1	Ls1	L2	Ls2	L3	Ls3	L4	Ls4	CV_L1	sigma_L1	CV_L2	sigma_L2	CV_L3	sigma_L3	CV_L4	sigma_L4
2010	4102653237.06505	701742432.240295	83154854.7471057	14492743.3436563	4902043267.39611	-0.428755711563289	0.308449855	0.0908834079551017	0.301468751208316	260768000	91206000	11712000	1900000	13.2268255	0.702984935703815	15.165339	0.512017572692488	16.0146459	0.655995918992125	15.2885437	-0.720358207318032	0.141723332749871	0.14101932597469	0.119480116788324	0.119056973127505	0.115741676942239	0.115356841711486	0.127733859434194	0.127217389724207
2011	9771197264.43779	851251215.434354	114879260.677132	1432097.78296954	10738759838.3322	-0.0312609603198966	0.181166967	0.0322943484170877	0.179706283744024	323736000	225534000	7664000	0	12.3408875	-0.0294653700865161	15.6242525	0.985460360607807	14.9977748	-0.447382002317274	14.5	-1.32119835336499	0.118887545641903	0.118470635115199	0.114368020506572	0.113996662406551	0.124541250413913	0.124062340867412	NA	NA
2012	11474829053.7575	3907732533.27225	125570125.890763	916644.015947266	15509048356.9365	0.293607418162575	0.10290469	0.0105337004857491	0.102633817456768	223948000	324259000	6170000	0	12.4326104	0.0463666476765511	15.1875483	0.534930023316948	16.127544	0.778498437647418	15.5542807666667	NA	0.184550462252409	0.183007408911268	0.0924839273127166	0.0922870781414555	0.123733880998577	0.123264174778081	NA	NA
2013	3406509493.73909	1929010559.88467	405075977.007795	916644.015947266	5740596030.63155	-0.371648206345973	0.128214909	0.0163054043206738	0.127692616547214	166255000	269135000	93052000	0	12.1143289	-0.216772964804688	13.9282158	-0.764273181017565	14.9387469	-0.51143149846409	16.5	0.202725168050389	0.108115485957434	0.10780153137961	0.141139746313875	0.140444339430776	0.115022574048286	0.114644833694168	NA	NA
2014	5877313721.514	1687318630.54605	255367673.246386	32636047.5620632	7852636072.8685	-0.227813085863086	0.092663503	0.00854987025816163	0.0924655084783598	415888000	348405000	56738000	4271000	12.8403227	0.383443281492325	14.1381398	-0.547702947606836	14.3451959	-1.1554768141104	16.558184	0.247059151135406	0.0936096900845782	0.0934055876054824	0.109121837221593	0.108799071675885	0.133496523928172	0.132907426285067	0.0578696285814589	0.0578212664593286
2015	60665421910.2172	2007316017.68396	167815842.098944	23908382.2662815	62864462152.2664	3.51862754683117	0.143643278	0.0204234064499678	0.142910484044971	812428000	485623000	34150000	173000	9.46221078	-2.40941480654313	14.4209619	-0.255926646608794	14.3008525	-1.20359257678258	17.5	0.964686928758078	0.172498611595176	0.171235681426007	0.0989064675545221	0.0986658530377097	0.127629254703156	0.12711404544945	NA	NA
2016	3817705485.95834	3492460306.4848	1046766094.85736	916644.015947266	8356931887.3005	-0.193469300812962	0.126469335	0.0158679285661481	0.125967966428565	397116000	422205000	47499000	231000	11.3515861	-0.847371490998815	12.7938807	-1.93452154410603	15.80052	0.423653992428861	16	-0.178255712303455	0.135191232721654	0.13457956239688	0.139257311857052	0.138589172202828	0.0989942011889778	0.0987529480537483	NA	NA
2017	10272601480.114	1429344523.15429	412121774.822909	5789616.7002292	12119857394.7914	0.0627951794593134	0.154339294	0.0235413332175697	0.153431852030697	552096000	474455000	100391000	2339000	11.2736644	-0.911793350082299	13.7765111	-0.920780880415942	14.3866172	-1.11053173907392	16.6860613333333	NA	0.14748663180754	0.146693902129002	0.125988763374521	0.125493056409544	0.120505399328968	0.120071325879852	NA	NA
2018	13900712879.0939	2108010587.85348	92562228.0920463	8100635.84591607	16109386330.8853	0.334491910448021	0.081651594	0.00664485676107702	0.081515990830493	861266000	437506000	40693000	292000	11.0128791	-1.12739791014251	14.0899364	-0.59743247633719	14.2778094	-1.22859598948506	15.3431392	-0.678758524011316	0.149929669718626	0.149097212442563	0.10126517056524	0.101006993377394	0.11029689839735	0.109963639318676	0.081315230061589	0.0811812918949084
2019	13523750667.3457	2658936831.85246	251034506.730245	25525489.4464938	16459247495.3749	0.358318316074943	0.087799593	0.00767920779555243	0.0876310892066989	392328000	620770000	59252000	440000	11.0329093	-1.11083791822994	13.2041024	-1.51131214775714	15.807937	0.431701968266066	14.3163241	-1.46115236552856	0.140229069701734	0.139546943894957	0.167835869214816	0.166671631415585	0.0904497773862481	0.0902655966269955	0.113922313757328	0.113555260428772
2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	1072383000	287255000	32160000	174000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021	35270724533.4827	6691573302.66875	384220527.623487	59276904.4534822	42405795268.2284	2.12534202319681	0.095318013	0.00904449853495104	0.0951025684981801	704623000	575452000	37580000	862000	10.9696902261038	-1.16310436351962	13.3365576980807	-1.37466328997134	14.442952106025	-1.04940433412847	14.0205871929372	-1.68649257994037	0.126690992542215	0.126186998288935	0.0939058756833924	0.0936998358525376	0.0948943881592147	0.0946817942183302	0.103853334105825	0.103574930367289
2022	7514533272.16001	5756563931.02696	591229224.447391	12224718.0260916	13874551145.6605	0.18229413876858	0.119111631	0.0140878788290273	0.118692370559473	272569000	633521000	186425000	51000	11.6550640568873	-0.596470725569714	13.6644139568006	-1.03642704029938	14.5804463957389	-0.900213189275956	15.233779904089	-0.762086125673415	0.0915582750837049	0.0913672601109338	0.0847747242533215	0.0846230005618785	0.0793466583127958	0.0792221929224361	0.0606072100544216	0.0605516644037982
