Year	N1	N2	N3	N4	N5	N6	N7	N8plus	N7plus	N_total	Ns_total	CV_N	sigma2_N	sigma_N	C1	C2	C3	C4	C5	C6	L1	Ls1	L2	Ls2	L3	Ls3	L4	Ls4	L5	Ls5	L6	Ls6	L7	Ls7	L8	Ls8	L9	Ls9	L10	Ls10	CV_L1	sigma_L1	CV_L2	sigma_L2	CV_L3	sigma_L3	CV_L4	sigma_L4	CV_L5	sigma_L5	CV_L6	sigma_L6	CV_L7	sigma_L7	CV_L8	sigma_L8	CV_L9	sigma_L9	CV_L10	sigma_L10	L7plus
2012	3257929000	1129668000	833824000	1158709000	340656000	77427000	54120000	43030000	97150000	6895363000	-0.348050623412411	0.261515391	0.0661531229629977	0.257202494083937	173684000	82821000	76280000	116345000	33705000	21306000	16.2855002375853	0.589151045541324	18.5091141672642	-0.0503836886653971	19.6024643556654	-0.261476618436517	20.2384410933963	-0.422103018092737	21.2722237819768	-0.0834449904331596	21.9721476554031	0.0311468354111428	23.1853734954941	0.911731453416476	22.2093156761191	-0.253444619398838	23.5899440964191	0.267130893103166	NA	NA	0.0797299466567222	0.0796036729782735	0.0500494403850846	0.050018140048444	0.0467579702856988	0.0467324436782941	0.0499375019580015	0.0499064109788505	0.0466570919570599	0.0466317300819345	0.0508400212569067	0.0508072155216147	0.0445137612748851	0.0444917341847437	0.0527695207617619	0.052732840271738	0.0565780444841738	0.0565328451804414	NA	NA	22.7530547310298
2013	8334258000	1934208000	558270000	313743000	563894000	211086000	49522000	47293000	96815000	12012274000	1.02495468209262	0.073821102	0.00543476000189524	0.0737208247505089	269228000	142154000	54457000	72774000	46668000	21706000	13.9600786322156	-0.98961955049496	18.0207043138659	-0.50138929116275	19.3895521874652	-0.475558085102823	20.6211517723945	-0.0274081396770785	21.4549764254865	0.113909287503822	22.0641938901679	0.136445224663479	22.4689339140651	0.136881717359566	23.2222784071952	0.311509464657928	24.251249605337	1.27074861140454	22.5	-1.11804704920651	0.131479764559128	0.130916803791732	0.0654411313963234	0.0653712298633858	0.0498635078289465	0.0498325547272957	0.0592357330661104	0.0591838689433609	0.0567684705100825	0.0567228138159696	0.0443965678801537	0.0443747141843879	0.050990045618011	0.0509569488777956	0.0505653714079505	0.0505330939927607	0.0291575400317076	0.029151345724733	NA	NA	22.8369339255675
2014	3987596000	3240908000	863755000	269980000	183557000	132252000	39784000	4771000	44555000	8722603000	0.142247178216545	0.071357006	0.00507890281536258	0.0712664213733409	262390000	328105000	60419000	32688000	29073000	20320000	14.1021685478853	-0.893152148482956	17.9176512452938	-0.596550170815719	19.3015623638901	-0.56403114252317	20.0135240222362	-0.654063140782595	20.7900438345618	-0.604150319397264	21.4609905095476	-0.553603037855678	21.6937786522716	-0.701470693049994	NA	NA	22.4168232475355	-1.5132336339894	NA	NA	0.0886418360739829	0.0884684502198482	0.0607237412054997	0.0606678749675833	0.0532401678535203	0.0532024981487704	0.0581190597039784	0.0580700702933168	0.0570781372242694	0.0570317301719364	0.0571203789915188	0.0570738689508464	0.0673495807348242	0.0672733939604997	NA	NA	0.0678349392945386	0.0677570962451484	NA	NA	21.6937786522716
2015	7417101000	1610331000	1698312000	482737000	193540000	159560000	141105000	33719000	174824000	11736405000	0.950931584832507	0.122516768	0.0148988178024308	0.122060713591355	339258000	183846000	83810000	22825000	4307000	10928000	13.9132766364015	-1.02139426810165	17.9336811044066	-0.58174793818914	19.3516742082257	-0.513644087506985	20.3573531325592	-0.299467368200722	21.3873392538937	0.0408680175936105	22.0092681651563	0.0736116890276477	22.445183977233	0.111195486778872	22.758170933768	0.052665378384959	22.1153599489277	-1.97074367106052	NA	NA	0.119759123709815	0.119333024009655	0.0601027459413625	0.0600485739991553	0.0546502686452202	0.0546095291947767	0.0549350401355945	0.0548936612035462	0.0579490001880453	0.0579004390395089	0.0511928255413986	0.0511593327412921	0.0612090814396484	0.0611518667467923	0.0328455982428528	0.032836744684374	0.0799338992016762	0.0798066562351671	NA	NA	22.5055510160114
2016	1222367000	2164400000	795680000	441492000	63454000	27872000	44752000	12868000	57620000	4772885000	-0.91756874769046	0.084828508	0.00717010899131075	0.0846764960972686	178655000	255708000	84317000	47657000	5951000	8922000	14.320158691969	-0.745154714851843	17.6420210580873	-0.851071568741224	19.135375227743	-0.731130966587665	19.9668006436221	-0.702249614934647	21.1015732166025	-0.267730254176524	22.2026910555551	0.294882215253597	22.7612501552182	0.453030026545458	23.2678103639522	0.336903750287407	23.2813914295058	-0.20113818883756	23.506198654465	-0.0435527220664097	0.123192970815138	0.122729364618912	0.053689393786282	0.0536507634761246	0.0493796387641541	0.049349577261047	0.0569365979146362	0.0568905348384984	0.0493840576850029	0.0493539881177721	0.0693570647475418	0.0692738725311636	0.0584704463163293	0.0584205640596768	0.0354787669015532	0.0354676098458979	0.0455582809554754	0.0455346677937531	0.0451225732995478	0.0450996306795242	22.8743778325176
2017	8661051698.03271	1102845411.82043	1688140337.55699	725103309.663041	393362482.282404	53422692.0012796	15494195.052115	20365198.176432	35859393.228547	12659785324.5854	1.19869944412393	0.060653344	0.00367207780063598	0.0605976715776768	330303000	74360000	142917000	50191000	24158000	5159000	15.4149828280613	-0.00185889705171864	17.437153824874	-1.0402493040069	18.6730877336812	-1.19595731064698	19.9525860787202	-0.716909294618459	20.6165750337952	-0.791478990886873	21.8119641228908	-0.152098769380769	22.5822685845383	0.259456379310958	22.8724725713151	0.116414196545338	22.7323186648754	-1.03442801901225	23.5732509207134	0.0280507126888285	0.0638099064533292	0.0637450955524477	0.0652614543760816	0.0651921261557375	0.0587308622286852	0.0586803113352082	0.0511514567706278	0.0511180450247592	0.0528751035404342	0.0528382026578906	0.0576339348089091	0.0575861604943993	0.0476007440585659	0.0475738132931243	0.0583818804495411	0.0583322242438283	0.0731124847758505	0.0730150621434092	0.0299961504488643	0.0299894063335025	22.7470806789492
2018	4813216427.13738	2033706972.62701	201480726.030522	318994761.710854	108361301.476408	23886552.8472934	2690112.96850781	1618263.82246983	4308376.79097764	7503955118.62044	-0.184748934609455	0.09063834	0.00818174671889482	0.0904530083462945	276260000	274900000	54760000	35800000	11660000	2930000	14.6570191333896	-0.516454096153457	17.5907186723293	-0.898445026171185	18.6962215203608	-1.17269647485831	19.4061170983933	-1.28049040061908	20.1345681023394	-1.31199748020235	20.2887244814052	-1.89464349273186	20.7750010152795	-1.69515477747529	20.5	-1.20677176810831	NA	NA	24.5	1.01770282955161	0.119359475693458	0.118937605995109	0.0513893951988115	0.0513555154687535	0.0439192798720549	0.0438981229624101	0.0505781813500232	0.0505458794203129	0.0555632953774791	0.0555204820843778	0.0712262057257165	0.0711361174159839	0.0437758606177978	0.0437549101544428	NA	NA	NA	NA	NA	NA	20.6717082403529
2019	9941738040.16808	1595804520.34664	998376879.759832	95645392.4529867	103769311.649405	42789544.13008	1746866.35557153	1090000	2836866.35557153	12779870554.8626	1.2309215520096	0.077126385	0.00593085690999854	0.0770120569131778	186212000	153699000	100948000	19689000	18001000	4533000	13.9698816815987	-0.98296408376936	17.1520242795553	-1.30354256371799	18.3836508191673	-1.48698379208435	18.3407114650709	-2.3792581381912	19.4813585561964	-2.01739739040256	20.7641882655884	-1.35072585449016	21	-1.45181199122664	NA	NA	NA	NA	NA	NA	0.105134000969799	0.104845211804728	0.0470059698129775	0.0469800352019578	0.0596031842811511	0.0595503502341616	0.0594432817378808	0.0593908712394535	0.0608420333271718	0.0607858404006687	0.0511209097134654	0.0510875577348587	NA	NA	NA	NA	NA	NA	NA	NA	21
2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	388472000	211369000	69644000	15611000	4448000	1730000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021	14857853017.2643	775331637.836287	673632969.861358	343819650.458777	205200889.940364	26045094.8935482	14435947.4305004	15308702.6290061	29744650.0595065	16911627910.3141	2.33958354947143	0.210965764	0.0435445763654111	0.208673372439828	303253000	165860000	105084000	38472000	17388000	3550000	12.0888772942566	-2.26001182895827	17.4105208547171	-1.06484262182866	18.1798178917008	-1.69193615547338	19.6380946128303	-1.04124874398292	19.5504834332661	-1.94274954980458	20.6600507157877	-1.46985637930433	20.6170697769741	-1.8659618929504	19	-2.04335844606526	NA	NA	21	-2.7198594582751	0.133832843439757	0.133239310703317	0.078945660702039	0.0788230686455461	0.0593254206800923	0.0592733209204886	0.0585149216513681	0.0584649256203481	0.0437472618635364	0.0437263524058489	0.0437631091129791	0.0437421769396869	0.0465760571026266	0.0465508270418964	NA	NA	NA	NA	NA	NA	19.7848111927741
2022	4679440804.64921	2220672101.7905	605673237.751669	344376051.096528	106652577.838637	32585941.3245695	16556808.5465181	8198115.12388346	24754923.6704016	8014155638.12151	-0.0478483670314	0.151139286	0.0225860869077128	0.150286682403042	229454000	288799000	61007000	27345000	10613000	4869000	13.5884459132907	-1.24192769444994	16.0690059930433	-2.30361926451637	18.5243393780474	-1.34552258165743	19.093344884725	-1.60305676111038	19.8666115460933	-1.60136332280162	19.8199449798381	-2.4309144934486	20.3369421457837	-2.16892787461377	17.4222373746938	-2.92331524160495	NA	NA	23.5	-0.0501721098274523	0.109757266377064	0.109428853936311	0.0889390161691293	0.088763885559542	0.0695197679626319	0.0694359899167757	0.062220330281953	0.0621602367613512	0.0585126096434878	0.0584626195311697	0.0516594897605552	0.0516250735361094	0.0347695723436547	0.0347590707840093	NA	NA	NA	NA	NA	NA	19.3716761815788
